DAY,TIME,COURT,HOME,AWAY,,,,,,
THUR,12:45 PM,11,Lady Runnin’ Rebels White McDonough,NJ Philly Belles Nike 16U,,,,,,
THUR,12:45 PM,12,Cal Stars Flight 2016 - 34,New England Crusaders Leary - 53,,,,,,
THUR,12:45 PM,13,Texas United White - 71,QLD Kangaroos - 42,,,,,,
THUR,12:45 PM,16,Illinois Press - 43,Capitol City Express Petersen - 53,,,,,,
THUR,12:45 PM,17,Indy Gym Rats Maroon,IL Hoops Dreams 16U White,,,,,,
THUR,12:45 PM,18,Wisconsin Playground Elite U16 ,So-Minn Fury 2016,,,,,,
THUR,12:45 PM,19,NO GAME,NO GAME,,,,,,
THUR,12:45 PM,20,Memphis Lady All Stars,Legends of Wisconsin 15,,,,,,
THUR,12:45 PM,21,Full Package Daniel,Michigan Fast Break,,,,,,
THUR,12:45 PM,22,Team Miller Lightning 15U,Team Manitoba 15U,,,,,,
THUR,12:45 PM,23,Hoosier Premier White,Metro Hoops 15U,,,,,,
THUR,12:45 PM,24,Illinois Defenders 15U Grey,CBC 15/16U,,,,,,
THUR,12:45 PM,25,Tennessee Extreme,New York City Heat White,,,,,,
THUR,12:45 PM,26,MN Metro Stars Soule,CBC 14U Elite,open ,,,,,
THUR,12:45 PM,27,Flow 14U,Bulls Elite Crimson,,,,,,
THUR,12:45 PM,28,BC Denver Stovall,Erie Saints Laird,,,,,,
THUR,12:45 PM,29,Team Ontario 15U,North Tartan 15U,,,,,,
THUR,12:45 PM,30,Team Memphis Elite Burton,Alaska Lady Hoops 14,fri 545 41,,,,,
THUR,12:45 PM,31,DFW Elite Wonder Girls,Fencor Peeps,,,,,,
THUR,12:45 PM,32,North Tartan 14U Silver,Blessed Sacrament,,,,,,
THUR,12:45 PM,33,Lady Runnin’ Rebels Tartaglia Red,Hoop Ed Elite,,,,,,
THUR,12:45 PM,34,MBA Select 16U,Illinois Hustle 16U,,,,,,
THUR,12:45 PM,35,Kingdom Hoops Elite ,North Tartan 13U,fri 700 6,,,,,
THUR,12:45 PM,36,IL Hoop Dreams 13U Johnson,Midtown Lady Monarchs,,,,,,
THUR,12:45 PM,37,MN Comets 11th Elite Peterson,Jersey Cardinals Coyle,,,,,,
THUR,12:45 PM,38,Oklahoma Showcase Jim ,Lady Runnin' Rebels Blatt White,,,,,,
THUR,12:45 PM,39,Wisconsin Impact Spoo,BC Denver Golden,,,,,,
THUR,12:45 PM,40,New England Crusaders Dorsey,Midwest Elite 15U Yates,,,,,,
THUR,12:45 PM,41,KW Lightning U13,Illinois Defenders 14U Grey,,,,,,
THUR,12:45 PM,42,Indy Gym Rats Tan,Colorado Shine Gold,,,,,,
THUR,12:45 PM,43,MN Thunderbirds 2017,Bolingbrook Panthers 16U,,,,,,
THUR,12:45 PM,44,Austin Elite Black,Greg Grant Basketball Club Fuerst,,,,,,
THUR,12:45 PM,45,Cal Stars Nike Flight,New England Shooting Stars,,,,,,
THUR,12:45 PM,46,Team Fort Worth Elite,IL Lady Lightning Gold,,,,,,
THUR,2:00 PM,1,Crossover Premier Platinum,Illinois Defenders 16U Black,,,,,,
THUR,2:00 PM,2,ND Pro 15U Blue,Midatlantic Heat 2,,,,,,
THUR,2:00 PM,3,United NJ Carr-Carolina,Full Package Select,,,,,,
THUR,2:00 PM,4,Queens Express 15U,Drill for Skill Joyce,,,,,,
THUR,2:00 PM,5,Bolingbrook Panthers 14U,Full Package White,,,,,,
THUR,2:00 PM,6,Jersey Cardinals Martinez,Epiphany Prince Elite 15U,,,,,,
THUR,2:00 PM,7,MBA Select 17U,Colorado Premier U17 National Red,,,,,,
THUR,2:00 PM,8,Central Jersey Hawks,Indy Gym Rats Blue,,,,,,
THUR,2:00 PM,9,Wisconsin Impact 2017 Nikolic,Torch Showcase,,,,,,
THUR,2:00 PM,10,Lady Thunder,South Texas Hoyas Gray,,,,,,
THUR,2:00 PM,11,Toronto Matrix Elite,Always 100 Elite Buck,,,,,,
THUR,2:00 PM,12,Clutch Players Red,Basketball Results,,,,,,
THUR,2:00 PM,13,Wisconsin Impact Averkamp,Minnesota Stars Waters,,,,,,
THUR,2:00 PM,16,Cardinal Junior Elite,Always 100 Elite 2017,,,,,,
THUR,2:00 PM,17,Hurricanes Dalles,Capitol City Express Cool/Doneth,,,,,,
THUR,2:00 PM,18,Wisconsin Playground Elite U15 ,Team Carolina,,,,,,
THUR,2:00 PM,19,AthElite U15,MBA Select 15U,,,,,,
THUR,2:00 PM,20,Purple Aces 15U,Wisconsin Hoops Select Girls Whitish ,,,,,,
THUR,2:00 PM,21,Midwest Wildcats Devries,Cincy Shock 15U,,,,,,
THUR,2:00 PM,22,MN Metro Stars Reiter,Oklahoma Swarm Team Adidas,,,,,,
THUR,2:00 PM,23,Illinois Elite National,United NJ Osta - White,,,,,,
THUR,2:00 PM,24,Peak Performance National,Philadelphia Belles 17U,,,,,,
THUR,2:00 PM,25,HLC 16U,Rockford Heat Select,,,,,,
THUR,2:00 PM,26,Epiphany Prince Elite 14U,New Jersey Sparks 14U,,,,,,
THUR,2:00 PM,27,Indy Gym Rats Red,Cal Stars Flight 2017,,,,,,
THUR,2:00 PM,28,Wisconsin Blizzard 16U Hawley,Comets Shumoski,,,,,,
THUR,2:00 PM,29,Kingdom Hoops Elite 16U,PSPA 16U Select - Coffield,,,,,,
THUR,2:00 PM,30,Team Takeover 14U,North Tartan 14U,,,,,,
THUR,2:00 PM,31,Midwest Sports Academy,So-Minn Fury 2017,,,,,,
THUR,2:00 PM,32,Wisconsin Impact 2018 Liebl,O.M.S. ,,,,,,
THUR,2:00 PM,33,Team Ontario 16U,Illinois Dream Team,,,,,,
THUR,2:00 PM,34,Nebraska Lasers 16U,Houston Lady Roadrunners,,,,,,
THUR,2:00 PM,35,DFW Elite Power Puff Girls,Always 100 Roller,,,,,,
THUR,2:00 PM,36,Michigan Crossover 2016,Minnesota Fury 2017 Blue,,,,,,
THUR,2:00 PM,37,Colorado Elite White,Fencor Strothers,,,,,,
THUR,2:00 PM,38,Oklahoma Stars 16,Full Package Whitefield,,,,,,
THUR,2:00 PM,39,Lakers Platinum,Baltimore Lady Panthers 16U,,,,,,
THUR,2:00 PM,40,Cardinal Elite,Team Manitoba 16U,,,,,,
THUR,2:00 PM,41,Central Jersey Hawks Martorelli,MN Thunderbirds 2018,,,,,,
THUR,2:00 PM,42,United NJ Gallo,Crossover Select,,,,,,
THUR,2:00 PM,43,DSO Elite,Midwest Elite Weibel,,,,,,
THUR,2:00 PM,44,Lady Runnin’ Rebels Black Cranston,Central Florida Elite 2016,,,,,,
THUR,2:00 PM,45,Rockies 17U Red,St. Louis Rockets 17U,,,,,,
THUR,2:00 PM,46,Legends of Wisconsin Blue 17,OTCYBC Shot Callers,,,,,,
THUR,3:15 PM,1,Team Miller Lightning 16U,Seidman Lady Wildcats,,,,,,
THUR,3:15 PM,2,Illinois Rage,Quad City Attack Fr/So,,,,,,
THUR,3:15 PM,3,Arkansas Hawks 16U,Best Choice Indiana,,,,,,
THUR,3:15 PM,4,Rush U14,Indy Gym Rats Pink,,,,,,
THUR,3:15 PM,5,IL Hoop Dreams Collins,Illinois Pizazz 14U White,,,,,,
THUR,3:15 PM,6,Indy Gym Rats Purple,Bulls Elite Crimson,,,,,,
THUR,3:15 PM,7,Legends of Wisconsin 16,Kansas Hoopsters ,,,,,,
THUR,3:15 PM,8,Peak Performance Gold,Full Package Kahleaf,,,,,,
THUR,3:15 PM,9,Always 100 Andrews,Hudson Valley Elite Gold John,,,,,,
THUR,3:15 PM,10,New Jersey Sparks 16U,Minnesota Fury 2016 Blue,,,,,,
THUR,3:15 PM,11,805 Basketball,Texas United Blue,,,,,,
THUR,3:15 PM,12,North Texas Shockers Shields,Boston Showstoppers,,,,,,
THUR,3:15 PM,13,Metro Hoops 16U,IL Hoops Dreams 16U Black,,,,,,
THUR,3:15 PM,16,Indiana Top Recruit Diamonds Select,Queens Express 16U,,,,,,
THUR,3:15 PM,17,Tigers Black,Lady B.I.G. D.O.G.S. 2016,,,,,,
THUR,3:15 PM,18,Minnesota Fury 2016 Gold,Baltimore Starz,,,,,,
THUR,3:15 PM,19,5280 Threat 16U,Bulls Elite Black,,,,,,
THUR,3:15 PM,20,New Jersey Panthers 16U Blue,Team Under Armour,,,,,,
THUR,3:15 PM,21,NJ Philly Belles Nike 16U,QLD Kangaroos,,,,,,
THUR,3:15 PM,22,A PLUS Purple,Albany Lady Stars Pink,,,,,,
THUR,3:15 PM,23,Michigan Mystics Donnelley ,Central Illinois Xpress,,,,,,
THUR,3:15 PM,24,Wisconsin RAP U15,Indy Gym Rats Green,,,,,,
THUR,3:15 PM,25,NY iEXCEL 15U,Cal Swish Future National,,,,,,
THUR,3:15 PM,26,Full Package 8th Black,Indy Gym Rats Gold,,,,,,
THUR,3:15 PM,27,Midwest Elite 14U Weissmann,IL Hoop Dreams 13U Johnson,,,,,,
THUR,3:15 PM,28,East Texas Premier,Lakers Gold U15 Freshman,,,,,,
